Filename,MSS,Folio,Folio Face,Title,Description
Codex_C_001_2r,Codex C,1,r,Vuoto (F. Di Grande Ant.),
Codex_C_003_2r,Codex C,3,r,Sabbato in Albis,
Codex_C_004_2r,Codex C,4,r,In Nat. S. Marie Magdalene,
Codex_C_006_2r,Codex C,6,r,In Nat. S. Iacobi Ap.,
Codex_C_007_2r,Codex C,7,r,In Nat. S. Bartholomei Ap.,
Codex_C_008_2r,Codex C,8,r,In Nat. S. Matthaei,
Codex_C_009_2r,Codex C,9,r,(Vuoto),
Codex_C_010_2r,Codex C,10,r,(Vuoto),
Codex_C_010_1v,Codex C,10,v,Miniatura Natale,
Codex_C_011_2r,Codex C,11,r,In Nativitate Domini,
Codex_C_012_2r,Codex C,12,r,In S. Stephano,
Codex_C_013_2r,Codex C,13,r,In S. Iohanne Ev.,
Codex_C_013_1v,Codex C,13,v,In Vig. Epiphanie,
Codex_C_014_1v,Codex C,14,v,In Oct. Domini,
Codex_C_015_2r,Codex C,15,r,Miniatura Epifania,
Codex_C_015_1v,Codex C,15,v,In Epiphania Domini,
Codex_C_002_2r,Codex C,2,r,Plebs Pasqua,2nd hand
Codex_C_002_1v,Codex C,2,v,Miniatura Ippopante,
Codex_C_017_2r,Codex C,17,r,In Purificatione S. Marie,
Codex_C_018_2r,Codex C,18,r,Miniatura Annunciazione,
Codex_C_018_1v,Codex C,18,v,In Annunciatione S. Marie,
Codex_C_020_2r,Codex C,20,r,Miniatura Ultima Cena E Lavanda,
Codex_C_020_1v,Codex C,20,v,Feria V,
Codex_C_022_2r,Codex C,22,r,Miniatura Bacio Di Giuda (Miniatura),
Codex_C_022_1v,Codex C,22,v,Crocifissione E Deposizione - D.N.I.C. (Miniatura),
Codex_C_023_2r,Codex C,23,r,In Sabbato Sancto,
Codex_C_024_2r,Codex C,24,r,3 Marie e Angelo Ad Sepulchrum (Miniatura),
Codex_C_024_1v,Codex C,24,v,In Die Sancto Paschae,
Codex_C_025_1v,Codex C,25,v,Discepoli Emmaus,
Codex_C_026_2r,Codex C,26,r,Feria II in Albis,
Codex_C_028_1v,Codex C,28,v,Feria III in Albis,
Codex_C_029_2r,Codex C,29,r,Feria IIII in Albis,
Codex_C_031_2r,Codex C,31,r,Vidit Me Loque Me (Min.),
Codex_C_032_2r,Codex C,32,r,Feria V,
Codex_C_033_2r,Codex C,33,r,Feria VI,
Codex_C_033_1v,Codex C,33,v,Sabbato in Albis,
Codex_C_034_2r,Codex C,34,r,Tommoso Incredulo (Min.),
Codex_C_034_1v,Codex C,34,v,Dom. Oct. Paschae,
Codex_C_035_1v,Codex C,35,v,In Nat. Apost. Philippi Et Iacobi,
Codex_C_037_2r,Codex C,37,r,Ascensione (Min.),
Codex_C_037_1v,Codex C,37,v,In Ascensione Domini,
Codex_C_040_2r,Codex C,40,r,Pentecoste (Min.),
Codex_C_041_2r,Codex C,41,r,Dom. In Pentecoste,
Codex_C_039_2r,Codex C,39,r,In Nat. S. Iohannis Bapt.,
Codex_C_060_2r,Codex C,60,r,In Nat. S. Petri,
Codex_C_062_2r,Codex C,62,r,Martirio Di Eusebio (Min.),
Codex_C_062_1v,Codex C,62,v,In S. Eusebio Vercellensi Ep.,
Codex_C_063_2r,Codex C,63,r,In Nat. S. Lavrentii,
Codex_C_064_2r,Codex C,64,r,Dormitio Virginis (Miniatura),
Codex_C_064_1v,Codex C,64,v,In Assumptione S. Marie,
Codex_C_065_2r,Codex C,65,r,In Nat. S. Marie,
Codex_C_066_2r,Codex C,66,r,In Nat. S. Aemiliano,
Codex_C_067_2r,Codex C,67,r,In Nat. S. Michaelis Archang.,
Codex_C_068_2r,Codex C,68,r,In Nat. Ss. Symonis Et Iudae,
Codex_C_048_1v,Codex C,48,v,In S. Honorato,
Codex_C_049_2r,Codex C,49,r,In Festivitate Omnium Sanctorum,
Codex_C_050_1v,Codex C,50,v,In Nat. S. Martini,
Codex_C_051_2r,Codex C,51,r,In Nat. S. Andreae,
Codex_C_051_1v,Codex C,51,v,In S. Nicolao,
Codex_C_052_2r,Codex C,52,r,In Nat. S. Cecilie Virginis [Et Mart.?],
Codex_C_053_1,Codex C,53,,Exultet Cum Musica,2nd hand